m2|heatingType|elevator|price|createdAt|roomCount|redactedFloor|lastFloor|furnished|registered|placeTitle
33|gas|1|99000|01/17/2023 11:25:30|1|2|False|no|yes|Filmski Grad
79|central|0|137000|01/30/2023 11:25:43|2.5|0|False|no|yes|Cerak
110|district|0|195000|07/16/2022 16:18:45|5|6|False|no|yes|Cerak Vinogradi
107|central|0|153000|08/19/2022 09:20:43|4|0|False|no||Žarkovo
48|storageHeater|0|129000|03/31/2023 09:05:21|2|4|False||yes|Banovo Brdo
158||0|475000|01/31/2023 08:29:53|4|2|False|yes||Banovo Brdo
73|district|0|205000|03/31/2023 02:07:13|3|0|False|no|yes|Žarkovo
160|gas|0|464000|04/30/2023 00:17:57|4|2|False|||Golf Naselje
166|gas|1|572000|04/30/2023 00:17:57|5|4|True|||Banovo Brdo
129|storageHeater|0|125000|03/01/2023 00:06:12|4|1|False||yes|Žarkovo
43|district|0|99820|11/01/2022 00:00:32|2|2|True||yes|Žarkovo
31|district|0|72059|11/01/2022 00:00:29|1|1|False||yes|Žarkovo
50|central|0|180000|03/30/2023 22:15:55|2|3|False|no|yes|Banovo Brdo
46|electricity|0|116900|01/30/2023 22:15:15|2|1|True|no|yes|Banovo Brdo
62|gas|0|95000|04/29/2023 22:17:08|3|0|False|no|yes|Košutnjak
57|district|2|180140|02/28/2023 20:46:13|2|4|False||yes|Banovo Brdo
77|district|1|205000|12/30/2022 20:17:39|3|4|False|no|yes|Banovo Brdo
48|electricity|0|110000|03/30/2023 19:32:30|2|2|False|no|yes|Žarkovo
41|district|0|105000|02/28/2023 19:29:02|1|6|False|no|yes|Čukarička Padina
67|gas|0|99000|05/30/2022 18:49:59|2.5|-1|False||yes|Železnik
82|gas|0|129000|05/30/2022 18:49:58|3|1|False||yes|Železnik
134|gas|0|201000|05/30/2022 18:49:58|4.5|1|False||yes|Železnik
83||0|115000|03/30/2023 18:22:53|2.5|-1|False|no||Žarkovo
83|district|0|139900|02/28/2023 18:06:13|3|1|False|no|yes|Filmski Grad
102||1|140000|03/10/2023 17:30:59|4|6|False|no||Cerak
61|district|0|177000|03/30/2023 16:17:23|1.5|4|False|no|yes|Banovo Brdo
67|electricity|0|117000|02/28/2023 16:07:14|2|2|True|no|yes|Žarkovo
60|district|1|127000|02/28/2023 15:31:30|2|6|False|no|yes|Žarkovo
70|district|0|165000|03/30/2023 15:37:11|3|1|False|no||Banovo Brdo
41|district|1|87000|01/30/2023 15:28:23|1|6|True|no|yes|Cerak Vinogradi
92|central|0|235000|03/30/2021 14:30:58|4|0|False|semi|yes|Banovo Brdo
44|district|1|126000|04/29/2023 13:38:15|1|3|False|no|yes|Čukarička Padina
23|district|0|64000|04/29/2023 13:28:08|1|0|False|no|yes|Banovo Brdo
41|district|1|105000|02/23/2023 12:22:56|1.5|6|False|no|yes|Čukarička Padina
79|gas|0|90850|05/30/2022 12:49:57|2.5|1|False||no|Železnik
59|gas|0|170000|11/30/2022 12:24:03|3|0|False|no||Filmski Grad
56||0|95000|04/25/2023 12:05:37|2.5|0|False|||Žarkovo
50|electricity|0|74900|03/30/2023 11:15:29|2|3|False||no|Bele Vode
84|district|1|275000|10/01/2022 16:19:07|3|2|False|no|yes|Čukarička Padina
36|central|1|108000|03/29/2023 22:08:07|1.5|2|False|no||Banovo Brdo
58|district|1|160000|04/28/2023 21:58:21|2|4|False|no|yes|Banovo Brdo
75|central|1|79000|07/19/2022 21:21:05|2.5|-3|False|no||Julino Brdo
145|norwegianRadiators|0|319000|08/02/2022 17:22:49|5|3|True|no|yes|Banovo Brdo
45||0|62500|10/10/2022 15:23:19|1.5|2|True|no||Čukarica
70|district|1|189000|04/28/2023 20:07:07|2.5|5|False|no|yes|Banovo Brdo
108|district|0|240000|12/29/2022 17:31:36|4|3|True|no|yes|Bele Vode
77|district|1|154360|04/28/2023 17:25:28|2.5|5|False|no|yes|Julino Brdo
57|district|0|105000|03/29/2023 17:24:13|2.5|0|False|semi|yes|Cerak
51|district|0|120000|03/29/2023 15:32:04|2|5|True|no|yes|Banovo Brdo
95||0|325000|04/28/2023 15:26:05|4|0|False||yes|Ada Ciganlija
60|central|0|85000|04/28/2023 14:27:51|3|-1|False|no||Filmski Grad
60|gas|0|115000|04/28/2023 14:24:43|2.5|1|False||yes|Žarkovo
43|district|1|112000|04/28/2023 14:07:11|1|3|False|no|yes|Čukarička Padina
69|district|1|189000|04/28/2023 13:37:26|2.5|5|False|no|yes|Banovo Brdo
54|district|1|135000|03/29/2023 12:05:57|3|0|False|no|yes|Banovo Brdo
42|central|0|76900|04/28/2023 12:06:24|2.5|5|True|no|yes|Žarkovo
58|district|0|126000|04/28/2023 11:32:08|2|1|False||yes|Cerak Vinogradi
49|central|1|102000|02/09/2023 14:21:54|2|5|True|no||Žarkovo
137|gas|0|349350|03/03/2023 16:21:39|4|4|True|no||Banovo Brdo
55|central|1|110000|03/07/2023 20:22:49|2.5|4|False|no||Žarkovo
38|gas|0|88000|04/28/2023 09:47:59|1.5|0|False|yes|partially|Filmski Grad
92|district|1|253962|04/27/2023 19:31:31|3|2|False|no||Banovo Brdo
79|district|1|253962|04/27/2023 19:31:30|3|4|False|no||Banovo Brdo
56|district|1|180139|04/27/2023 19:31:30|2|3|False|no||Banovo Brdo
131|district|1|462598|04/27/2023 19:31:29|3|6|False|no||Banovo Brdo
113|district|1|312180|04/27/2023 19:31:28|4|2|False|no||Banovo Brdo
64|electricity|0|183150|04/28/2022 18:50:55|2.5|-1|False||no|Banovo Brdo
40|storageHeater|0|58000|04/27/2023 16:29:50|2|1|False|no||Sremčica
43|district|0|86000|03/28/2023 15:36:05|2|2|False|no|no|Žarkovo
42|gas|0|42000|10/28/2022 14:10:28|1|-1|False|no||Železnik
52|electricity|0|125000|04/27/2023 14:06:27|2|1|False|no|yes|Banovo Brdo
74|district|1|259000|04/27/2023 14:06:26|2.5|3|False|no|yes|Banovo Brdo
72|district|0|175000|05/28/2022 13:36:55|4|3|True|no|yes|Golf Naselje
83|district|1|150000|03/28/2023 13:30:20|3|4|False|no||Filmski Grad
54||0|135000|12/28/2022 13:29:34|2|1|False|no|yes|Banovo Brdo
80|electricity|0|98000|11/28/2022 13:16:31|3|5|True||no|Bele Vode
62||1|143000|11/28/2022 13:05:54|2.5|11|False||yes|Banovo Brdo
40|district|1|90000|07/28/2022 12:17:16|1|7|False||no|Čukarička Padina
72|district|1|200000|10/28/2022 12:12:14|3|5|True|no|yes|Banovo Brdo
