Lokacija|BrojSoba|Mesec|Datum|ProsecnaCena
Barajevo|3|111|11/01/2019|418.28499999999997
Barajevo|3|112|12/01/2019|436.46000000000004
Barajevo|3|201|01/01/2020|424.18
Barajevo|3|202|02/01/2020|368.66499999999996
Barajevo|3|203|03/01/2020|369.81333333333333
Barajevo|3|204|04/01/2020|328.17
Barajevo|3|205|05/01/2020|431.54499999999996
Barajevo|3|206|06/01/2020|445.295
Barajevo|3|207|07/01/2020|445.04
Barajevo|3|208|08/01/2020|417.28499999999997
Barajevo|3|209|09/01/2020|438.18333333333334
Barajevo|3|210|10/01/2020|456.65
Barajevo|3|211|11/01/2020|343.43
Barajevo|3|212|12/01/2020|399.435
Barajevo|3|301|01/01/2021|340.325
Barajevo|3|302|02/01/2021|405.74
Barajevo|3|303|03/01/2021|430.65000000000003
Barajevo|3|304|04/01/2021|432.895
Barajevo|3|305|05/01/2021|524.08
Barajevo|3|306|06/01/2021|485.765
Barajevo|3|307|07/01/2021|482.67
Barajevo|3|308|08/01/2021|488.8966666666667
Barajevo|3|309|09/01/2021|494.665
Barajevo|3|310|10/01/2021|501.06
Barajevo|3|311|11/01/2021|508.14
Barajevo|3|312|12/01/2021|508.17
Barajevo|3|401|01/01/2022|512.07
Barajevo|3|402|02/01/2022|532.205
Barajevo|3|403|03/01/2022|639.89
Barajevo|3|404|04/01/2022|634.2
Barajevo|3|405|05/01/2022|673.4100000000001
Barajevo|3|406|06/01/2022|747.02
Barajevo|3|407|07/01/2022|742.355
Barajevo|3|408|08/01/2022|772.1566666666668
Barajevo|3|409|09/01/2022|644.8800000000001
Barajevo|3|410|10/01/2022|717.47
Barajevo|3|411|11/01/2022|731.505
Barajevo|3|412|12/01/2022|780.345
Barajevo|3|501|01/01/2023|804.7133333333333
Barajevo|3|502|02/01/2023|888.115
Barajevo|3|503|03/01/2023|0
Barajevo|3|504|04/01/2023|860.6700000000001
Barajevo|3|505|05/01/2023|858.77
Barajevo|3|506|06/01/2023|840.7850000000001
Barajevo|3.5|001|01/01/2018|0
Barajevo|3.5|002|02/01/2018|0
Barajevo|3.5|003|03/01/2018|0
Barajevo|3.5|004|04/01/2018|0
Barajevo|3.5|005|05/01/2018|0
Barajevo|3.5|006|06/01/2018|457.14
Barajevo|3.5|007|07/01/2018|457.14
Barajevo|3.5|008|08/01/2018|457.14
Barajevo|3.5|009|09/01/2018|457.14
Barajevo|3.5|010|10/01/2018|457.14
Barajevo|3.5|011|11/01/2018|0
Barajevo|3.5|012|12/01/2018|457.14
Barajevo|3.5|101|01/01/2019|404.76
Barajevo|3.5|102|02/01/2019|402.37999999999994
Barajevo|3.5|103|03/01/2019|451.66499999999996
Barajevo|3.5|104|04/01/2019|452.2166666666667
Barajevo|3.5|105|05/01/2019|451.65999999999997
Barajevo|3.5|106|06/01/2019|451.65999999999997
Barajevo|3.5|107|07/01/2019|453.33
Barajevo|3.5|108|08/01/2019|453.33
Barajevo|3.5|109|09/01/2019|453.33
Barajevo|3.5|110|10/01/2019|408.89000000000004
Barajevo|3.5|111|11/01/2019|426.67
Barajevo|3.5|112|12/01/2019|378.07
Barajevo|3.5|201|01/01/2020|295
Barajevo|3.5|202|02/01/2020|244.535
Barajevo|3.5|203|03/01/2020|352.37999999999994
Barajevo|3.5|204|04/01/2020|220
Barajevo|3.5|205|05/01/2020|0
Barajevo|3.5|206|06/01/2020|0
Barajevo|3.5|207|07/01/2020|486.49
Barajevo|3.5|208|08/01/2020|514.29
Barajevo|3.5|209|09/01/2020|533.3366666666667
Barajevo|3.5|210|10/01/2020|542.86
Barajevo|3.5|211|11/01/2020|542.86
Barajevo|3.5|212|12/01/2020|542.86
Barajevo|3.5|301|01/01/2021|542.86
Barajevo|3.5|302|02/01/2021|542.86
Barajevo|3.5|303|03/01/2021|364.52333333333337
Barajevo|3.5|304|04/01/2021|401.17
Barajevo|3.5|305|05/01/2021|422.22
Barajevo|3.5|306|06/01/2021|0
Barajevo|3.5|307|07/01/2021|0
Barajevo|3.5|308|08/01/2021|0
Barajevo|3.5|309|09/01/2021|0
Barajevo|3.5|310|10/01/2021|0
Barajevo|3.5|311|11/01/2021|0
Barajevo|3.5|312|12/01/2021|0
Barajevo|3.5|401|01/01/2022|0
Barajevo|3.5|402|02/01/2022|0
Barajevo|3.5|403|03/01/2022|0
Barajevo|3.5|404|04/01/2022|0
Barajevo|3.5|405|05/01/2022|712.64
Barajevo|3.5|406|06/01/2022|712.64
Barajevo|3.5|407|07/01/2022|655.97
Barajevo|3.5|408|08/01/2022|577.3933333333333
Barajevo|3.5|409|09/01/2022|687.71
Barajevo|3.5|410|10/01/2022|687.71
Barajevo|3.5|411|11/01/2022|657.2550000000001
Barajevo|3.5|412|12/01/2022|595.905
Barajevo|3.5|501|01/01/2023|724.9666666666667
Barajevo|3.5|502|02/01/2023|768.335
Barajevo|3.5|503|03/01/2023|0
Barajevo|3.5|504|04/01/2023|780
