m2|heatingType|elevator|price|createdAt|roomCount|redactedFloor|lastFloor|furnished|registered|placeTitle
30|district|0|56000|10/06/2022 15:32:46|1|-1|False|no|yes|Miljakovac
86|district|1|168000|04/05/2023 15:32:22|4|5|False|no|yes|Vidikovac
120|district|0|149000|12/06/2022 14:23:15|4|3|False|no|yes|Labudovo Brdo
72|district|1|158000|01/06/2023 14:15:49|2.5|11|False|no|yes|Vidikovac
92|district|1|168000|01/06/2023 14:15:43|3.5|10|False|no|yes|Vidikovac
35|central|0|70000|03/06/2023 13:05:37|2|3|False|no|yes|Kneževac
22|district|0|56000|01/06/2023 11:32:47|1|-1|False|no|yes|Miljakovac
36|district|1|96000|02/06/2023 10:38:53|1|5|False|no|in_progress|Vidikovac
114|central|0|137000|04/04/2023 14:07:43|4|-1|False|no|yes|Petlovo Brdo
73|district|0|200000|04/04/2023 13:24:40|3|3|False|no|yes|Vidikovac
157|district|1|360000|10/05/2022 13:10:54|5|7|True|semi|yes|Vidikovac
129|central|0|200000|07/04/2022 19:19:13|4|-3|False|no|yes|Kanarevo Brdo
127|central|0|129011|09/04/2020 19:06:26|4|1|True|no|yes|Petlovo Brdo
44|central|0|75000|03/02/2023 17:31:25|2|4|True|no|yes|Rakovica - Centar
88|district|1|115000|01/02/2023 12:27:19|3|5|True|no|yes|Miljakovac
46|norwegianRadiators|0|110000|10/31/2022 15:25:50|2.5|0|False|yes|yes|Kanarevo Brdo
33|central|0|88500|03/01/2023 10:24:08|2|4|True|no|yes|Rakovica
54|district|0|112000|11/30/2022 17:24:56|2.5|2|False|no|yes|Kanarevo Brdo
92|district|1|298000|07/29/2022 18:24:05|4|2|False|no|yes|Stari Košutnjak
90|gas|0|129900|01/26/2023 14:32:56|3|-1|False|no|yes|Petlovo Brdo
56|district|0|95000|02/25/2023 13:32:42|2|-1|False|no|yes|Miljakovac
59||1|125000|02/24/2023 14:06:33|2|5|False|no|yes|Skojevsko Naselje
129|central|0|200000|08/23/2022 17:25:09|4|-3|False|no|yes|Kanarevo Brdo
52|gas|0|85000|12/15/2022 21:22:34|2.5|2|False|no|yes|Petlovo Brdo
64|district|1|138000|12/15/2022 16:25:50|2|2|False|no|yes|Vidikovac
92|district|1|195000|03/15/2023 13:39:16|3.5|3|False|semi|yes|Stari Košutnjak
36|district|0|63000|11/14/2022 22:24:10|1.5|-3|False|no|yes|Miljakovac
62|electricity|0|105000|02/14/2023 18:08:40|2|0|False|no|yes|Kanarevo Brdo
72|gas|0|129900|12/14/2022 12:11:05|3|-1|False|no|yes|Petlovo Brdo
92|district|1|190000|07/11/2022 17:22:42|3.5|3|False|no|yes|Stari Košutnjak
130|district|1|230000|01/10/2023 11:31:24|5|7|True|no|yes|Vidikovac
72|gas|0|134900|02/01/2023 17:32:17|3|-1|False|no|yes|Petlovo Brdo
33|storageHeater|0|66000|03/01/2023 13:41:23|1|1|False|yes|yes|Rakovica
72|storageHeater|0|135000|11/14/2022 11:08:19|2|2|True|yes|in_progress|Rakovica - Centar
92|district|1|190000|07/11/2022 17:22:42|3.5|3|False|no|yes|Stari Košutnjak
130|district|1|230000|01/10/2023 11:31:24|5|7|True|no|yes|Vidikovac
72|gas|0|134900|02/01/2023 17:32:17|3|-1|False|no|yes|Petlovo Brdo
33|storageHeater|0|66000|03/01/2023 13:41:23|1|1|False|yes|yes|Rakovica
72|storageHeater|0|135000|11/14/2022 11:08:19|2|2|True|yes|in_progress|Rakovica - Centar
37|central|0|55500|01/22/2023 22:09:54|1.5|-2|False|no|in_progress|Petlovo Brdo
40|electricity|0|80000|03/11/2022 20:21:48|1.5|5|True|no|yes|Labudovo Brdo
130|district|2|230000|12/10/2022 19:27:55|5|7|True|yes|yes|Vidikovac
59|district|0|103000|12/09/2022 15:41:48|2|0|False|yes|yes|Labudovo Brdo
30|electricity|0|37000|12/05/2022 15:08:13|0.5|-1|False|no|no|Kneževac
71|district|1|122000|11/23/2022 13:57:25|3|0|False|no|yes|Miljakovac I
43|central|0|95000|11/04/2022 16:25:07|1.5|3|False|no|yes|Miljakovac I
52|district|0|115500|10/28/2022 09:56:10|2|3|False|no|in_progress|Vidikovac
36|district|0|63000|10/25/2022 18:20:42|1.5|-1|False|no|yes|Miljakovac I
55|district|1|117000|09/09/2022 12:42:37|2.5|0|False|no|yes|Skojevsko Naselje
130|gas|0|142000|08/24/2022 07:50:15|4|-1|False|no|in_progress|Petlovo Brdo
46|central|0|65000|04/15/2022 15:08:01|2|-3|False|semi|yes|Labudovo Brdo
41|electricity|0|25000|11/10/2021 11:57:51|2.5|0|False|yes|no|Kijevo
85|underfloor|0|99999|11/05/2020 12:08:15|3|0|False|semi|in_progress|Rakovica
32|electricity|0|34999|02/17/2019 21:14:06|1|-1|False|no|in_progress|Rakovica - Centar
45|storageHeater|0|49500|10/17/2018 11:51:32|1.5|1|True|no|in_progress|Stari Košutnjak
